procedure,site,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30
training_median,11,115,18.917391304347827,24.622387303463064,-0.881245919031054,0.28695652173913044,False
training_median,12,168,11.424107142857142,15.853836192663577,-0.12769128745467273,0.39880952380952384,False
training_median,13,63,15.108730158730157,16.967537867051934,-0.13104002911674573,0.15873015873015872,False
training_median,14,300,16.532633333333333,24.80421831732121,-0.2947933626478463,0.31666666666666665,False
training_median,15,315,16.28968253968254,27.628498485647544,-0.17617529914304142,0.37142857142857144,False
training_median,16,92,12.095652173913043,16.619952649961327,-0.10503124015648013,0.42391304347826086,False
training_median,17,217,10.275345622119815,13.267508647605462,-0.08463870518174144,0.42857142857142855,False
training_median,18,266,10.085,13.630859821511049,-0.000237322893258618,0.34962406015037595,False
training_median,19,203,10.194137931034483,14.020170814051177,-0.01543638221457777,0.43349753694581283,False
training_median,20,110,15.759636363636362,21.715633245952723,-0.3567733307350258,0.32727272727272727,False
training_median,21,287,12.315655058910622,16.91682262860729,-0.2662853160525316,0.39372822299651566,False
