procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
fixed_35_mg_week,Normal,3971,13.253119905403118,17.690181367340827,-0.024410484399733035,0.30647192143037016,False,cyp2c9_group
fixed_35_mg_week,One decreased,1179,12.637161032698536,15.398434507829535,-0.2616206199729454,0.28498727735368956,False,cyp2c9_group
fixed_35_mg_week,Other observed,9,,,,,True,cyp2c9_group
fixed_35_mg_week,Two decreased,136,17.241764705882353,19.365193571426637,-1.388189426836325,0.125,False,cyp2c9_group
fixed_35_mg_week,Unknown,115,14.239565217391304,18.433605205427536,-0.013628932715598507,0.2608695652173913,False,cyp2c9_group
iwpc_clinical,Normal,3170,10.031522743732655,15.173728295862789,0.28708791362070474,0.40347003154574135,False,cyp2c9_group
iwpc_clinical,One decreased,947,9.303903746386927,12.026314542252651,0.19193088511874834,0.3843717001055966,False,cyp2c9_group
iwpc_clinical,Other observed,9,,,,,True,cyp2c9_group
iwpc_clinical,Two decreased,108,13.898850203873266,16.061520168423037,-1.0633955310838328,0.2222222222222222,False,cyp2c9_group
iwpc_clinical,Unknown,68,12.008075124942636,16.187285631543254,0.21275088715184798,0.3235294117647059,False,cyp2c9_group
iwpc_pharmacogenetic,Normal,3170,8.896651898824459,13.625941155792365,0.4251104831491961,0.4586750788643533,False,cyp2c9_group
iwpc_pharmacogenetic,One decreased,947,7.873421740190983,10.71470209019715,0.3585783832639037,0.4424498416050686,False,cyp2c9_group
iwpc_pharmacogenetic,Other observed,9,,,,,True,cyp2c9_group
iwpc_pharmacogenetic,Two decreased,108,6.024868452978804,8.039731068786416,0.4829979867514733,0.37962962962962965,False,cyp2c9_group
iwpc_pharmacogenetic,Unknown,68,12.03435172523939,16.48428489908053,0.1835974671358679,0.4117647058823529,False,cyp2c9_group
pharmacogenomic_ml,Normal,3971,9.82004710456109,14.123091679811447,0.34706642660849873,0.4175270712666835,False,cyp2c9_group
pharmacogenomic_ml,One decreased,1179,8.62816735498638,11.691147621073506,0.27273962330663815,0.40458015267175573,False,cyp2c9_group
pharmacogenomic_ml,Other observed,9,,,,,True,cyp2c9_group
pharmacogenomic_ml,Two decreased,136,8.758061674873616,11.854461992968393,0.10507058386016088,0.27941176470588236,False,cyp2c9_group
pharmacogenomic_ml,Unknown,115,11.910201342179654,16.295476269500885,0.20787713262060703,0.3565217391304348,False,cyp2c9_group
training_mean,Normal,3971,13.033827796738452,17.90339507697193,-0.049253035860109984,0.32132963988919666,False,cyp2c9_group
training_mean,One decreased,1179,11.227395712749729,14.166094511935281,-0.06776555762747516,0.3240033927056828,False,cyp2c9_group
training_mean,Other observed,9,,,,,True,cyp2c9_group
training_mean,Two decreased,136,14.30096680518958,16.53564174936761,-0.7412743211365889,0.18382352941176472,False,cyp2c9_group
training_mean,Unknown,115,13.649458523229137,18.486800211186694,-0.019487558466009025,0.30434782608695654,False,cyp2c9_group
training_median,Normal,3971,12.851336979188059,18.19730445062683,-0.08398573210648586,0.3203223369428356,False,cyp2c9_group
training_median,One decreased,1179,10.508848903775721,13.774370333603967,-0.009529811583436576,0.356234096692112,False,cyp2c9_group
training_median,Other observed,9,,,,,True,cyp2c9_group
training_median,Two decreased,136,12.29735294117647,14.756428858198001,-0.38671630852346905,0.22794117647058823,False,cyp2c9_group
training_median,Unknown,115,13.426695652173912,18.94394640029873,-0.07053124443695702,0.3565217391304348,False,cyp2c9_group
clinical_ml,Available,3966,11.895906226550158,16.15616634021789,0.1217083405909406,0.3265254664649521,False,vkorc1_availability
clinical_ml,Missing,1444,10.928760685474561,14.827007334870872,0.08108216464138074,0.37534626038781166,False,vkorc1_availability
fixed_35_mg_week,Available,3966,13.560596751160652,17.822021598364792,-0.0687498284123993,0.28517397881996975,False,vkorc1_availability
fixed_35_mg_week,Missing,1444,12.32439493545997,15.64978421503482,-0.023732246876277063,0.32825484764542934,False,vkorc1_availability
iwpc_clinical,Available,3490,9.861579969961404,14.60857055817805,0.28848407521358543,0.39140401146131804,False,vkorc1_availability
iwpc_clinical,Missing,812,10.577889056014229,14.421492796363623,0.1555860596479678,0.4039408866995074,False,vkorc1_availability
iwpc_pharmacogenetic,Available,3490,8.303784640182029,12.820255168266913,0.4520227630515946,0.4584527220630373,False,vkorc1_availability
iwpc_pharmacogenetic,Missing,812,10.132610782352204,13.604414538717993,0.24855937023118302,0.42610837438423643,False,vkorc1_availability
